FWI TEST DATA APRIL 13 TO MAY  31
418
 17.  42  25     
 20.  21  25  2.4 
 8.5  40  17     
 6.5  25   6     
 13.  34  24     
  6.  40  22  0.4 
 5.5  52   6     
 8.5  46  16      
 9.5  54  20     
  7.  93  14  9.0
 6.5  71  17  1.0
  6.  59  17     
 13.  52   4     
15.5  40  11     
 23.  25   9     
 19.  46  16     
 18.  41  20     
14.5  51  16     
14.5  69  11     
15.5  42   8     
 21.  37   8      
 23.  32  16      
 23.  32  14     
 27.  33  12     
 28.  17  27     
23.5  54  20     
 16.  50  22 12.2 
11.5  58  20     
 16.  54  16     
21.5  37   9     
 14.  61  22  0.2
 15.  30  27     
 20.  23  11     
 14.  95   3 16.4
 20.  53   4  2.8
19.5  30  16     
25.5  51  20  6.0 
 10.  38  24     
 19.  27  16     
 26.  46  11  4.2 
 30.  38  22     
25.5  67  19 12.6
 12.  53  28 11.8
 21.  38   8     
 13.  70  20  3.8
  9.  78  24  1.4
 11.  54  16     
15.5  39   9     
 18.  36   5     
